experiment,matchType,pid,srgiResponse
chat,low,62cbf0a272c4c044c572343c,5.125
chat,high,5d2eac390aca250001e9c3e1,3.625
chat,random,62dc587c7c0dd665ce6c299c,3.75
chat,low,6113090824b9ce3d9ef3d553,3.75
chat,random,5d76d2f7daf4bf00164d585b,1.875
chat,low,5c319a0502cc4a0001a012d8,4.875
chat,low,61083d0cd5238a0405e40d81,4.25
chat,random,57309f6b30a556000fecdd47,5.25
chat,low,5de7d7a6603b1b73f3944f8e,5.125
chat,random,5a66283813898300014b5e29,6.0
chat,random,5dfdc45e617219a8e2e05c26,4.875
chat,high,5cdad620eae6f70019d4e950,5.875
chat,high,5cab4ce7fc216d0016162830,5.25
chat,low,5dc1eb838a84461511b3cd73,3.375
chat,random,5d865f0832bd810017fb64e4,4.5
chat,low,5bbc18010cb04c00015025ce,5.5
chat,high,5bf6fc936c445d0001aeba98,5.375
chat,high,655f8b959477c803eb906622,5.125
chat,random,607778a26ff3de83125f50c5,4.125
chat,high,5aeab6e39e185a0001b9e272,4.375
chat,high,63daed36814c21c85fd0e937,5.75
chat,high,5fb9de27e62120924c5b2176,3.375
chat,low,5ed6da7e2eae9413f9a96db9,3.375
chat,high,63d14a284cfd0c9986e7dfc2,5.125
chat,high,5c80c02f8740a300165833bc,4.375
chat,random,6151e479b4ee16668948c7f2,4.25
chat,low,58adfc6e7cf56d0001f931a2,3.875
chat,high,65a14806a21074b48b91ab0b,5.0
chat,high,60e10ed73b3d207be7f805e3,5.625
chat,low,63f3ed3911c9f6d12570897e,5.625
chat,low,63d572f61366709dbcc745a9,4.375
chat,high,60e8642773ace778a72affb2,5.5
chat,low,6547cd2ceba4e6b1fffffe56,4.125
chat,high,5d384f7d3e880c00016d9080,6.5
chat,high,561bbdf9811d22000df3138a,5.75
chat,high,65a14753f34c5e9ccce66538,1.75
chat,random,6480d2e60bb76dc7968705dd,4.75
chat,low,63069f585b35a5ec752fcd30,5.5
chat,high,5f406d28899a9b1a9ddd609a,4.875
